Date,XLY Adjusted Close,XLE Adjusted Close,XLF Adjusted Close,XLI Adjusted Close,XLB Adjusted Close,FRESX Adjusted Close,XLK Adjusted Close,XLU Adjusted Close,SP500 Adjusted Close,Date_CPI,CPI_EOM
2007-03-02,32.34,46.076,23.102,28.072,28.876,27.292,19.293,25.976,1387.17,,
2007-03-01,32.579,46.627,23.368,28.427,29.359,27.821,19.659,26.385,1403.17,,
2007-02-28,32.768,46.816,23.42,28.475,29.486,28.103,19.676,26.303,1406.82,,
2007-02-27,32.656,46.569,22.971,28.443,29.454,27.864,19.6,26.044,1399.04,,
2007-02-26,33.821,48.501,24.097,29.321,30.698,28.834,20.384,27.027,1449.37,,
2007-02-23,34.112,48.213,24.273,29.49,30.42,29.029,20.435,26.399,1451.19,,
2007-02-22,34.189,48.09,24.501,29.571,30.302,29.456,20.452,26.099,1456.38,,
2007-02-21,34.266,47.663,24.598,29.667,30.31,29.636,20.341,26.064,1457.63,,
2007-02-20,34.403,47.145,24.702,29.587,30.119,29.709,20.375,26.174,1459.68,,
2007-02-16,34.154,47.679,24.572,29.538,29.874,29.492,20.366,26.105,1455.54,,
2007-02-15,34.197,47.671,24.579,29.659,30.024,29.6,20.409,26.058,1456.81,,
2007-02-14,34.086,48.033,24.54,29.595,29.882,29.405,20.332,26.283,1455.3,,
2007-02-13,33.906,48.024,24.305,29.168,29.7,29.441,20.051,26.099,1444.26,,
2007-02-12,33.615,47.334,24.13,28.934,29.113,28.877,19.974,25.873,1433.37,,
2007-02-09,33.778,48,24.188,28.886,28.994,29.398,20.06,25.969,1438.06,,
2007-02-08,34.094,48.197,24.449,28.999,29.129,29.839,20.281,25.88,1448.31,,
2007-02-07,34.163,47.712,24.527,29.2,29.097,29.962,20.256,25.832,1450.02,,
2007-02-06,34,48,24.436,29.224,29.097,29.325,20.162,25.737,1448,,
2007-02-05,33.88,48.148,24.325,29.216,28.899,28.884,20.188,25.6,1446.99,,
2007-02-02,33.992,48.197,24.331,29.16,29.018,28.826,20.239,25.327,1448.39,,
2007-02-01,33.898,47.926,24.286,29.047,29.066,28.624,20.136,25.191,1445.94,,
2007-01-31,33.778,47.753,24.13,28.797,28.717,28.385,20.222,24.979,1438.24,,
2007-01-30,33.418,47.449,23.935,28.418,28.551,28.132,20.102,24.904,1428.82,,
2007-01-29,33.324,46.504,23.843,28.435,28.472,27.965,19.983,24.829,1420.62,,
2007-01-26,33.238,46.734,23.961,28.37,28.583,27.871,19.898,24.747,1422.18,,
2007-01-25,33.401,46.619,23.915,28.483,28.598,27.835,19.889,24.808,1423.9,,
2007-01-24,33.94,47.597,24.266,28.636,28.693,27.756,20.136,24.829,1440.13,,
2007-01-23,33.812,47.391,24.019,28.717,28.4,27.387,19.778,24.747,1427.99,,
2007-01-22,33.692,46.191,24.032,28.386,28.044,27.3,19.778,24.603,1422.95,,
2007-01-19,33.906,46.512,24.052,28.7,28.337,27.503,19.923,24.61,1430.5,,
2007-01-18,33.915,45.271,23.98,28.717,27.909,27.235,19.932,24.603,1426.37,,
2007-01-17,33.726,45.608,24.078,28.846,28.076,27.336,20.162,24.617,1430.62,,
2007-01-16,33.726,45.106,24.143,28.821,27.98,27.365,20.426,24.563,1431.9,,
2007-01-12,33.607,45.575,24.078,28.668,27.909,26.96,20.469,24.487,1430.73,,
2007-01-11,33.512,44.44,24.052,28.588,27.6,26.844,20.418,24.692,1423.82,,
2007-01-10,33.144,44.695,23.902,28.354,27.307,26.533,20.213,24.665,1414.85,,
2007-01-09,32.973,45.575,23.824,28.257,27.117,26.2,20.111,24.658,1412.11,,
2007-01-08,32.793,45.969,23.863,28.273,27.109,25.882,20.085,24.638,1412.84,,
2007-01-05,32.742,45.969,23.759,28.169,27.109,25.853,20.026,24.651,1409.71,,
2007-01-04,32.965,45.665,23.948,28.265,27.291,26.287,20.188,25.102,1418.34,,
2007-01-03,32.973,46.512,24.026,28.386,27.418,26.309,19.881,25.136,1416.6,,
